player,player_id,pass_angle,pass_length,under_pressure,pass_cross,pass_cut_back,pass_inswinging,pass_outswinging,pass_through_ball,pass_switch,pass_normal,location_x,location_y,pass_end_location_x,pass_end_location_y,play_pattern_from_corner,play_pattern_from_counter,play_pattern_from_free_kick,play_pattern_from_goal_kick,play_pattern_from_keeper,play_pattern_from_kick_off,play_pattern_from_throw_in,play_pattern_regular_play,pass_body_part_left_foot,pass_body_part_right_foot,pass_height_ground_pass,pass_height_high_pass,pass_height_low_pass,pass_completed
Francesc Fàbregas i Soler,3478,-2.1189878,13.24009,0,0,0,0,0,0,0,1,43.0,13.8,36.1,2.5,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Abdul Rahman Baba,12325,2.6024873,26.102108,0,0,0,0,0,0,0,1,33.8,3.2,11.4,16.6,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Gary Cahill,3645,1.5783719,26.400757,0,0,0,0,0,0,0,1,6.3,17.2,6.1,43.6,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Thibaut Courtois,3509,0.4015267,46.82414,1,0,0,0,0,0,0,1,9.4,48.7,52.5,67.0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
Branislav Ivanović,5594,-1.605565,11.506954,0,0,0,0,0,0,0,1,55.8,68.2,55.4,56.7,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Pedro Eliezer Rodríguez Ledesma,3958,-1.6822726,13.483694,0,0,0,0,0,0,0,1,62.6,44.2,61.1,30.8,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Nemanja Matić,3381,-0.8365164,30.44536,0,0,0,0,0,0,0,1,62.6,25.5,83.0,2.9,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Eden Hazard,3621,1.0079281,9.932271,0,0,0,0,0,0,0,1,87.8,9.3,93.1,17.7,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Francesc Fàbregas i Soler,3478,-1.8250169,13.1217375,0,0,0,0,0,0,0,1,78.2,68.8,74.9,56.1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
Willian Borges da Silva,3472,0.77076507,14.497241,0,0,0,0,0,0,0,1,84.1,37.8,94.5,47.9,0,0,0,0,0,0,0,1,0,1,0,0,1,1
Pedro Eliezer Rodríguez Ledesma,3958,-1.7887088,14.3391075,0,1,0,0,0,0,0,0,116.6,56.3,113.5,42.3,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Willian Borges da Silva,3472,-1.7869503,34.5029,0,0,0,0,1,0,0,0,120.0,80.0,112.6,46.3,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Francesc Fàbregas i Soler,3478,0.34061623,16.763054,0,0,0,0,0,0,0,1,90.5,64.5,106.3,70.1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
Willian Borges da Silva,3472,-1.6636958,16.169725,1,1,0,0,0,0,0,0,117.8,65.8,116.3,49.7,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Abdul Rahman Baba,12325,0.7752975,14.001429,0,0,0,0,0,0,0,1,43.9,0.1,53.9,9.9,0,0,0,0,0,0,1,0,0,1,0,0,1,1
Abdul Rahman Baba,12325,2.9107401,24.03768,0,0,0,0,0,0,0,1,57.6,0.1,34.2,5.6,0,0,0,0,0,0,1,0,1,0,0,0,1,1
Gary Cahill,3645,-0.3980143,9.546204,0,0,0,0,0,0,0,1,34.2,5.6,43.0,1.9,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Abdul Rahman Baba,12325,0.33124393,19.986496,0,0,0,0,0,0,0,1,44.9,2.1,63.8,8.6,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Eden Hazard,3621,-3.0548544,4.6173587,0,0,0,0,0,0,0,1,63.4,9.5,58.8,9.1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Willian Borges da Silva,3472,-0.55770886,11.903781,0,0,0,0,0,0,0,1,85.3,10.7,95.4,4.4,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Willian Borges da Silva,3472,1.7905566,29.81711,0,0,0,1,0,0,0,0,120.0,0.1,113.5,29.2,1,0,0,0,0,0,0,0,0,1,0,1,0,1
Diego da Silva Costa,5198,1.2645656,14.26359,1,0,0,0,0,0,0,1,113.5,29.2,117.8,42.8,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Eden Hazard,3621,-1.0379524,22.638462,0,0,0,0,0,0,0,1,89.3,39.6,100.8,20.1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
Diego da Silva Costa,5198,-1.111459,10.375452,0,0,0,0,0,0,0,1,101.9,19.6,106.5,10.3,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Willian Borges da Silva,3472,0.681017,22.395758,0,1,0,0,0,0,0,0,95.8,17.2,113.2,31.3,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Abdul Rahman Baba,12325,2.8383584,17.079227,0,0,0,0,0,0,0,1,103.0,0.1,86.7,5.2,0,0,0,0,0,0,1,0,1,0,0,1,0,1
Eden Hazard,3621,-0.70991164,8.4386015,0,0,0,0,0,0,0,1,78.1,7.2,84.5,1.7,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Gary Cahill,3645,-0.50230235,8.100617,1,0,0,0,0,0,0,1,68.1,6.0,75.2,2.1,0,0,0,0,0,0,0,1,0,1,0,0,1,1
Willian Borges da Silva,3472,1.5707964,2.9,0,0,0,0,0,0,0,1,75.2,2.1,75.2,5.0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
Francesc Fàbregas i Soler,3478,-1.7894653,2.7658634,0,0,0,0,0,0,0,1,75.2,5.0,74.6,2.3,0,0,0,0,0,0,0,1,0,1,1,0,0,1
Willian Borges da Silva,3472,2.3639462,9.121951,0,0,0,0,0,0,0,1,74.6,2.3,68.1,8.7,0,0,0,0,0,0,0,1,0,1,1,0,0,1
Nemanja Matić,3381,1.2608895,18.690372,0,0,0,0,0,0,0,1,64.6,13.8,70.3,31.6,0,0,0,0,0,0,0,1,1,0,1,0,0,1
Pedro Eliezer Rodríguez Ledesma,3958,-1.6905217,13.395895,0,0,0,0,0,0,0,1,88.4,18.1,86.8,4.8,0,0,0,0,0,0,0,1,0,1,1,0,0,1
Willian Borges da Silva,3472,1.082292,48.582405,0,1,0,0,0,0,1,0,88.2,16.1,111.0,59.0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
Branislav Ivanović,5594,-1.2220253,3.51141,0,0,0,0,0,0,0,1,111.2,58.1,112.4,54.8,0,0,0,0,0,0,0,1,0,1,0,0,1,0
Branislav Ivanović,5594,-2.3262036,28.296997,0,0,0,0,0,0,0,1,114.0,80.0,94.6,59.4,0,0,0,0,0,0,1,0,0,1,0,0,1,1
Francesc Fàbregas i Soler,3478,0.73648614,20.247469,0,0,0,0,0,0,0,1,91.5,62.6,106.5,76.2,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Branislav Ivanović,5594,-3.004006,13.124023,0,0,0,0,0,0,0,1,104.9,64.7,91.9,62.9,0,0,0,0,0,0,1,0,0,1,1,0,0,1
